Process Name,Memory Usage,CPU Usage
msedgewebview2.exe,23355392,0
msedge.exe,5124096,0
logioptionsplus_appbroker.exe,6676480,0
LogiAiPromptBuilder.exe,20078592,0
backgroundTaskHost.exe,958464,0
msedge.exe,54312960,0
python.exe,15179776,0
msedge.exe,10108928,0
msedge.exe,46608384,0
RuntimeBroker.exe,2088960,0
StoreExperienceHost.exe,126976,0
backgroundTaskHost.exe,126976,0
conhost.exe,10481664,0
logioptionsplus_agent.exe,35921920,0
System Idle Process,8192,0
System,19943424,0
,41971712,0
Registry,35344384,0
smss.exe,237568,0
csrss.exe,2662400,0
wininit.exe,950272,0
csrss.exe,4206592,0
services.exe,7827456,0
LsaIso.exe,1830912,0
lsass.exe,21286912,0
svchost.exe,8773632,0
SystemOptimizer.exe,10903552,0
svchost.exe,56782848,0
fontdrvhost.exe,573440,0
WUDFHost.exe,2379776,0
svchost.exe,10514432,0
svchost.exe,25624576,0
svchost.exe,18767872,0
svchost.exe,4349952,0
svchost.exe,14856192,0
WUDFHost.exe,6393856,0
WUDFHost.exe,5898240,0
chrome.exe,54235136,0
svchost.exe,17850368,0
winlogon.exe,8593408,0
fontdrvhost.exe,8548352,0
dwm.exe,122658816,0
svchost.exe,987136,0
svchost.exe,2170880,0
svchost.exe,872448,0
svchost.exe,10952704,0
svchost.exe,5025792,0
svchost.exe,6283264,0
svchost.exe,3932160,0
svchost.exe,2945024,0
svchost.exe,4874240,0
svchost.exe,4206592,0
svchost.exe,7413760,0
svchost.exe,7172096,0
Eap3Host.exe,5808128,0
IntelCpHDCPSvc.exe,724992,0
svchost.exe,5832704,0
svchost.exe,10928128,0
mc-fw-host.exe,7098368,0
svchost.exe,2314240,0
svchost.exe,3764224,0
svchost.exe,8179712,0
svchost.exe,3076096,0
svchost.exe,2887680,0
svchost.exe,5414912,0
svchost.exe,8163328,0
svchost.exe,1773568,0
svchost.exe,2678784,0
chrome.exe,10346496,0
svchost.exe,13553664,0
svchost.exe,11333632,0
svchost.exe,3342336,0
SynTPEnhService.exe,3096576,0
svchost.exe,10428416,0
svchost.exe,6893568,0
svchost.exe,24047616,0
svchost.exe,14954496,0
svchost.exe,1409024,0
svchost.exe,4644864,0
GameBarFTServer.exe,2936832,0
MemCompression,411144192,0
svchost.exe,5238784,0
svchost.exe,21524480,0
sihost.exe,22355968,0
svchost.exe,6291456,0
svchost.exe,3686400,0
AppHelperCap.exe,19025920,0
ApplicationFrameHost.exe,5898240,0
TouchpointAnalyticsClientService.exe,52379648,0
svchost.exe,2691072,0
svchost.exe,3514368,0
NetworkCap.exe,6004736,0
SysInfoCap.exe,28897280,0
